2017-10-27 16:52:14 INFO org.eduprom.tasks.Benchmark main started application
2017-10-27 16:52:15 INFO org.eduprom.miners.AbstractMiner mine Started training the log file: EventLogs\contest_dataset\training_log_1.xes using the algorithm: AdaptiveNoiseMiner
2017-10-27 16:52:15 INFO org.eduprom.miners.AbstractMiner mine reading event log finished successfully,log size: 900
2017-10-27 16:52:15 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner minePetrinet Fitness weight: 0.340000, Precision weight: 0.330000, generalization weight: 0.340000
2017-10-27 16:52:17 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 0.636369), generalization: (0.340000,1.000000)
2017-10-27 16:52:17 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:17 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:18 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:18 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:18 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:18 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:18 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:18 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:18 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
2017-10-27 16:52:18 INFO org.eduprom.miners.adaptiveNoise.AdaptiveNoiseMiner splitLog Conformance on log split: fitness (0.340000, 1.000000), precision(0.330000, 1.000000), generalization: (0.340000,1.000000)
